type,dist,longitude,latitude
A2,北區,120.96142,24.814587
A2,東區,121.024019,24.781325
A2,東區,120.978504,24.80628
A2,東區,120.962979,24.798132
A2,東區,120.988198,24.785964
A2,東區,121.015967,24.785289
A2,北區,120.967864,24.809619
A2,東區,120.972693,24.794478
A2,東區,120.986507,24.799706
A2,東區,121.026042,24.774391
A2,東區,120.983397,24.814678
A2,東區,120.976834,24.810359
A2,東區,120.993378,24.805886
A2,東區,121.002235,24.793888
A2,東區,120.98088,24.814797
A2,北區,120.966481,24.823169
A2,北區,120.954214,24.801168
A2,東區,121.001425,24.783147
A2,東區,120.978267,24.803097
A2,東區,120.998463,24.796499
A2,東區,120.972508,24.794782
A2,東區,120.97053,24.804461
A2,東區,120.991805,24.775981
A2,東區,120.973471,24.795359
A2,東區,121.001944,24.807278
A2,東區,120.969548,24.802112
A2,東區,120.973539,24.814501
A2,東區,120.995598,24.819794
A2,香山區,120.952824,24.796467
A2,東區,120.978136,24.798281
A2,北區,120.976133,24.821801
A2,北區,120.95427,24.801133
A2,東區,120.998389,24.780917
A2,東區,120.981191,24.788581
A2,東區,120.975552,24.803209
A2,北區,120.930943,24.835654
A2,東區,121.016038,24.790167
A2,東區,120.958432,24.794019
A2,東區,121.010602,24.786679
A2,香山區,120.974763,24.788119
A2,東區,120.966784,24.808972
A2,香山區,120.936369,24.803181
A2,北區,120.96959,24.816941
A2,東區,120.970177,24.801882
A2,東區,120.964161,24.796353
A2,東區,120.985011,24.810391
A2,北區,120.975674,24.819259
A2,東區,120.979463,24.807036
A2,北區,120.961145,24.807839
A2,香山區,120.951778,24.795335
A2,東區,121.006454,24.798336
A2,北區,120.96166,24.807091
A2,北區,120.962738,24.810715
A2,東區,121.008931,24.771316
A2,東區,120.972882,24.799456
A2,東區,120.976796,24.806979
A2,東區,121.01122,24.789522
A2,東區,121.008707,24.802015
A2,香山區,120.968135,24.799861
A2,東區,121.020693,24.787634
A2,北區,120.952453,24.820804
A2,東區,120.974451,24.803992
A2,東區,120.976043,24.786937
A2,北區,120.971631,24.82193
A2,東區,121.0231,24.76258
A2,北區,120.960467,24.793487
A2,東區,121.010867,24.781437
A2,東區,120.978611,24.803274
A2,東區,120.985274,24.78727
A2,東區,121.01703,24.803286
A2,香山區,120.923848,24.790535
A2,東區,120.976824,24.805873
A2,北區,120.955515,24.809018
A2,香山區,120.966117,24.791099
A2,東區,121.007378,24.798368
A2,東區,120.980736,24.802798
A2,東區,120.969983,24.796469
A2,東區,120.98059,24.780998
A2,東區,120.980273,24.81532
A2,北區,120.957204,24.81783
A2,東區,121.000419,24.783423
A2,東區,120.968176,24.805307
A2,東區,120.985613,24.797459
A2,東區,121.003972,24.781485
A2,東區,120.975796,24.797594
A2,香山區,120.960706,24.796328
A2,東區,120.982475,24.788054
A2,東區,120.966897,24.802314
A2,東區,121.021071,24.782315
A2,北區,120.954822,24.803101
A2,北區,120.959645,24.803519
A2,東區,120.995302,24.781125
A2,東區,120.967099,24.801394
A2,香山區,120.909911,24.752632
A2,香山區,120.921355,24.74436
A2,東區,120.994579,24.817354
A2,香山區,120.907649,24.75583
A2,香山區,120.952241,24.799459
A2,東區,120.972374,24.821447
A2,東區,121.022783,24.768791
A2,東區,120.981043,24.80409
A2,東區,120.982482,24.810761
A2,北區,120.963284,24.813552
A2,東區,120.973053,24.794202
